"dimension","birth","death"
0,0,0.0204108403504245
0,0,0.0205153431127838
0,0,0.0316380207780962
0,0,0.0319696390310873
0,0,0.033107841041069
0,0,0.0354112240302688
0,0,0.0355753384473947
0,0,0.038960108653773
0,0,0.0520249166700838
0,0,0.0547625519891
0,0,0.0570021762725041
0,0,0.0585315132356016
0,0,0.0610726732829934
0,0,0.0614089312616188
0,0,0.0622663724215504
0,0,0.0626102471972427
0,0,0.0664653208982395
0,0,0.0691588329947825
0,0,0.0764976815790689
0,0,0.0832362101567853
0,0,0.0835015010063213
0,0,0.0880842993087279
0,0,0.0891770718458201
0,0,0.089604092806233
0,0,0.0916153297591112
0,0,0.0939143199360987
0,0,0.0947793777986528
0,0,0.0963662301573224
0,0,0.100848156582548
0,0,0.100863323463897
0,0,0.100895136542308
0,0,0.101657369814847
0,0,0.101743576577426
0,0,0.103552507423536
0,0,0.105329417511808
0,0,0.106038798739927
0,0,0.106340775180793
0,0,0.112249352419915
0,0,0.112563163158686
0,0,0.113579602148899
0,0,0.11534490038909
0,0,0.11662787790225
0,0,0.117083708999965
0,0,0.118512361328931
0,0,0.11851262144947
0,0,0.118572673783088
0,0,0.119498476210417
0,0,0.122292897754882
0,0,0.12607579655184
0,0,0.127703401164507
0,0,0.129651685074323
0,0,0.130347343415456
0,0,0.1354086803578
0,0,0.136890529324149
0,0,0.144001793586471
0,0,0.14474727694985
0,0,0.148866880849097
0,0,0.149617364812246
0,0,0.150330669576217
0,0,0.150406298609784
0,0,0.151927630331665
0,0,0.154888397506541
0,0,0.158339805934044
0,0,0.16373569552639
0,0,0.163785742661544
0,0,0.164836729577719
0,0,0.167912951018053
0,0,0.171710726668537
0,0,0.171757496266809
0,0,0.172412651244608
0,0,0.172724650268001
0,0,0.182919216690189
0,0,0.184778247418886
0,0,0.189860182931606
0,0,0.189903310033264
0,0,0.198311496286611
0,0,0.208563540292804
0,0,0.208994872418547
0,0,0.213544010056442
0,0,0.21490366643236
0,0,0.221810017503911
0,0,0.222355427289278
0,0,0.223625311951114
0,0,0.225235665507044
0,0,0.227243405506459
0,0,0.234218045421903
0,0,0.235286811118254
0,0,0.237160139157089
0,0,0.239976462129033
0,0,0.251875517537485
0,0,0.256404299608782
0,0,0.274774401233809
0,0,0.287942134163167
0,0,0.293310709529314
0,0,0.296095967432556
0,0,0.302930516358843
0,0,0.304333028377996
0,0,0.319160621100487
0,0,0.362891195957665
1,0.446044976291997,0.459602154315954
1,0.408885464090072,1.26921215016186
1,0.341906542509577,0.347172873094451
1,0.338216824485567,0.343929130467349
1,0.332953130847833,0.40093198302776
1,0.316781805804297,0.324269757569445
1,0.284394883135768,0.310775208008759
1,0.283433085700477,0.318265198439214
1,0.266410132414552,0.288221078492898
1,0.256445878350419,0.258129818698128
1,0.202896822109361,0.227199699709368
1,0.185782369621542,0.280325137195952
1,0.14656921792112,0.189192262359195
0,0,2
